anal_idx,initial_region_ratio,no_initial_region_ratio,known_cnt,pearson_r,p_value,mse,r2
1,0.1,0.1,65.0,,,0.2161886990070343,-0.26739540696144104
1,0.1,0.2,120.0,,,0.238215371966362,-0.2905796766281128
1,0.1,0.3,176.0,,,0.26584556698799133,-0.3211505115032196
1,0.1,0.4,231.0,,,0.3001030683517456,-0.3612689971923828
1,0.1,0.5,287.0,,,0.34552201628685,-0.41831347346305847
1,0.1,0.6,342.0,,,0.4060153663158417,-0.5034759640693665
1,0.1,0.7,397.0,,,0.4923989176750183,-0.6446396708488464
1,0.1,0.8,453.0,,,0.6289172172546387,-0.9321856498718262
1,0.1,0.9,508.0,,,0.864963710308075,-1.7746539115905762
1,0.1,1.0,564.0,,,1.4017136096954346,-430.2906188964844
1,0.2,0.1,75.0,,,0.1957288533449173,-0.2468143105506897
1,0.2,0.2,130.0,,,0.2160283327102661,-0.26727545261383057
1,0.2,0.3,186.0,,,0.24159406125545502,-0.29430386424064636
1,0.2,0.4,241.0,,,0.27345144748687744,-0.3298131227493286
1,0.2,0.5,297.0,,,0.31596192717552185,-0.3803270757198334
1,0.2,0.6,352.0,,,0.37307503819465637,-0.4559045732021332
1,0.2,0.7,407.0,,,0.4556208848953247,-0.5812494158744812
1,0.2,0.8,463.0,,,0.5885037779808044,-0.8367453217506409
1,0.2,0.9,518.0,,,0.8255629539489746,-1.5859367847442627
1,0.2,1.0,574.0,,,1.401826024055481,-431.1927490234375
1,0.3,0.1,85.0,,,0.17457211017608643,-0.2264387458562851
1,0.3,0.2,140.0,,,0.1930026412010193,-0.2441524863243103
1,0.3,0.3,196.0,,,0.21631120145320892,-0.267614483833313
1,0.3,0.4,251.0,,,0.24550861120224,-0.29848960041999817
1,0.3,0.5,307.0,,,0.28473469614982605,-0.34244588017463684
1,0.3,0.6,362.0,,,0.33792179822921753,-0.4084113836288452
1,0.3,0.7,417.0,,,0.4157927334308624,-0.5179043412208557
1,0.3,0.8,473.0,,,0.5436946749687195,-0.7412991523742676
1,0.3,0.9,528.0,,,0.7800084948539734,-1.3970547914505005
1,0.3,1.0,584.0,,,1.402151346206665,-430.34100341796875
1,0.4,0.1,95.0,,,0.15267090499401093,-0.20638084411621094
1,0.4,0.2,150.0,,,0.16907714307308197,-0.2213134765625
1,0.4,0.3,206.0,,,0.18991529941558838,-0.24117420613765717
1,0.4,0.4,261.0,,,0.21616153419017792,-0.2673795819282532
1,0.4,0.5,317.0,,,0.2516748905181885,-0.304739773273468
1,0.4,0.6,372.0,,,0.300300270318985,-0.3610571324825287
1,0.4,0.7,427.0,,,0.3724863529205322,-0.45466071367263794
1,0.4,0.8,483.0,,,0.49368569254875183,-0.6459078788757324
1,0.4,0.9,538.0,,,0.7266601324081421,-1.2081166505813599
1,0.4,1.0,594.0,,,1.402701735496521,-435.05145263671875
1,0.5,0.1,105.0,,,0.12988196313381195,-0.18685778975486755
1,0.5,0.2,160.0,,,0.14408308267593384,-0.19895248115062714
1,0.5,0.3,216.0,,,0.1622014045715332,-0.21515394747257233
1,0.5,0.4,271.0,,,0.18515312671661377,-0.23663003742694855
1,0.5,0.5,327.0,,,0.21644219756126404,-0.2673302888870239
1,0.5,0.6,382.0,,,0.2597310245037079,-0.31393858790397644
1,0.5,0.7,437.0,,,0.3249610960483551,-0.3915823698043823
1,0.5,0.8,493.0,,,0.4371578097343445,-0.5505905151367188
1,0.5,0.9,548.0,,,0.6627805829048157,-1.0190294981002808
1,0.5,1.0,604.0,,,1.4024852514266968,-435.713134765625
1,0.6,0.1,115.0,,,0.1062936782836914,-0.16821281611919403
1,0.6,0.2,170.0,,,0.11810770630836487,-0.17737320065498352
1,0.6,0.3,226.0,,,0.13325071334838867,-0.1898180991411209
1,0.6,0.4,281.0,,,0.1525488793849945,-0.20646627247333527
1,0.6,0.5,337.0,,,0.1790652722120285,-0.23040015995502472
1,0.6,0.6,392.0,,,0.21616004407405853,-0.26719895005226135
1,0.6,0.7,447.0,,,0.2729644775390625,-0.3287755846977234
1,0.6,0.8,503.0,,,0.373308002948761,-0.4554184079170227
1,0.6,0.9,558.0,,,0.5858525037765503,-0.8298637866973877
1,0.6,1.0,614.0,,,1.402783989906311,-438.7069396972656
1,0.7,0.1,125.0,,,0.08182555437088013,-0.1513349413871765
1,0.7,0.2,180.0,,,0.09104970842599869,-0.15737123787403107
1,0.7,0.3,236.0,,,0.1029299944639206,-0.16586439311504364
1,0.7,0.4,291.0,,,0.1181657612323761,-0.17749005556106567
1,0.7,0.5,347.0,,,0.13927403092384338,-0.19445005059242249
1,0.7,0.6,402.0,,,0.16915620863437653,-0.2212454378604889
1,0.7,0.7,457.0,,,0.21572120487689972,-0.26654860377311707
1,0.7,0.8,513.0,,,0.30044636130332947,-0.3606003522872925
1,0.7,0.9,568.0,,,0.4911078214645386,-0.6407361626625061
1,0.7,1.0,624.0,,,1.403493046760559,-442.04644775390625
1,0.8,0.1,135.0,,,0.05631047859787941,-0.1389673352241516
1,0.8,0.2,190.0,,,0.0627090185880661,-0.14141009747982025
1,0.8,0.3,246.0,,,0.07099057734012604,-0.14547374844551086
1,0.8,0.4,301.0,,,0.08168155699968338,-0.1515911966562271
1,0.8,0.5,357.0,,,0.09662137925624847,-0.16105835139751434
